gender,proficiency,education,You receive an unexpected email asking to confirm your personal details like this. What should you do?,You receive an unexpected email that feels suspicious. Which detail should make you think twice before clicking?,"If an email address looks like “support@amazo0n.com,” what should you do?",You’re asked to reset your password through an email link. What is the safest step?,Why is it risky to use the same password for email and banking?,You receive a pop-up asking for your login like this.What should you do?,Why do Fake emails often include urgent messages like “Act Now!”?,What’s a “spear phishing” attack?,Why do attackers sometimes use HTTPS in phishing sites?,What should be your first response if you clicked a phishing link?
Male,School,HND,Click the link to check,It comes from your manager,Assume it’s a mistake,Click and reset it,It can be confusing,Enter details quickly,To scare you into clicking,A generic email to many people,To improve speed,Restart the device
Male,High Education,HND,Report it as phishing,It comes from your manager,Assume it’s a mistake,Click and reset it,Because email is not important,Close the window and restart,To help users stay alert,A highly targeted email crafted for a specific person,To block ads,Close the tab and continue working
Female,High Education,HND,Click the link to check,It has your name in the subject,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To help users stay alert,A virus in a PDF,To improve speed,"Run antivirus, change your passwords, report it"
Male,School,Degree,Reply and confirm,It has your name in the subject,Recognize it’s spoofed and report it,Click and reset it,It can be confusing,Check the URL and site certificate,To help users stay alert,A generic email to many people,To trick users into feeling safe,Restart the device
Female,High Education,HND,Reply and confirm,It has your name in the subject,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Enter details quickly,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,Restart the device
Female,School,Degree,Ignore and delete it,It has your name in the subject,Delete and mark as spam,Ignore it,Because email is not important,Enter details quickly,To help users stay alert,An attack using harmful hardware,To block ads,"Run antivirus, change your passwords, report it"
Male,High Education,HND,Reply and confirm,No signature,Reply to confirm if it’s real,Click and reset it,"If one is breached, both are compromised",Click “Yes” and update later,To help users stay alert,An attack using harmful hardware,To block ads,Ignore it
Female,School,HND,Click the link to check,Grammatical errors and urgent tone,Reply to confirm if it’s real,Ignore it,Because email is not important,Close the window and restart,Because it’s a system error,A highly targeted email crafted for a specific person,To improve speed,Restart the device
Female,High Education,A/L,Click the link to check,It comes from your manager,Delete and mark as spam,Click and reset it,Because email is not important,Check the URL and site certificate,Because it’s a system error,A virus in a PDF,To improve speed,"Run antivirus, change your passwords, report it"
Male,High Education,Degree,Ignore and delete it,It has your name in the subject,Recognize it’s spoofed and report it,Forward it to someone else,They work on different platforms,Enter details quickly,To speed up support,An attack using harmful hardware,To improve speed,Restart the device
Female,School,HND,Ignore and delete it,It comes from your manager,Delete and mark as spam,Forward it to someone else,They work on different platforms,Click “Yes” and update later,To help users stay alert,An attack using harmful hardware,To improve speed,"Run antivirus, change your passwords, report it"
Female,High Education,O/L,Ignore and delete it,Grammatical errors and urgent tone,Assume it’s a mistake,Go directly to the official website to reset,Because email is not important,Click “Yes” and update later,To scare you into clicking,A highly targeted email crafted for a specific person,To improve speed,"Run antivirus, change your passwords, report it"
Female,School,HND,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Check the URL and site certificate,To scare you into clicking,An attack using harmful hardware,To trick users into feeling safe,Close the tab and continue working
Female,School,O/L,Ignore and delete it,It comes from your manager,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,A virus in a PDF,Because it’s required by law,Close the tab and continue working
Female,High Education,A/L,Report it as phishing,No signature,Recognize it’s spoofed and report it,Go directly to the official website to reset,It can be confusing,Close the window and restart,To help users stay alert,A highly targeted email crafted for a specific person,To block ads,Ignore it
Female,School,A/L,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Click and reset it,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
Female,School,A/L,Click the link to check,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Forward it to someone else,Because email is not important,Check the URL and site certificate,To help users stay alert,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
Male,High Education,Degree,Report it as phishing,No signature,Recognize it’s spoofed and report it,Click and reset it,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,A virus in a PDF,To trick users into feeling safe,Ignore it
Male,High Education,A/L,Click the link to check,It comes from your manager,Assume it’s a mistake,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To improve speed,"Run antivirus, change your passwords, report it"
Female,High Education,HND,Reply and confirm,Grammatical errors and urgent tone,Assume it’s a mistake,Click and reset it,They work on different platforms,Check the URL and site certificate,To speed up support,A virus in a PDF,To block ads,"Run antivirus, change your passwords, report it"
Female,School,Degree,Click the link to check,It comes from your manager,Reply to confirm if it’s real,Go directly to the official website to reset,They work on different platforms,Enter details quickly,Because it’s a system error,A generic email to many people,To trick users into feeling safe,Ignore it
Male,School,O/L,Report it as phishing,No signature,Reply to confirm if it’s real,Go directly to the official website to reset,Because email is not important,Enter details quickly,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Restart the device
Female,High Education,Degree,Reply and confirm,Grammatical errors and urgent tone,Assume it’s a mistake,Forward it to someone else,They work on different platforms,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To block ads,Ignore it
Male,High Education,Degree,Report it as phishing,It has your name in the subject,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Close the window and restart,Because it’s a system error,A generic email to many people,To block ads,Restart the device
Male,School,Degree,Report it as phishing,It has your name in the subject,Reply to confirm if it’s real,Ignore it,They work on different platforms,Click “Yes” and update later,Because it’s a system error,An attack using harmful hardware,Because it’s required by law,Close the tab and continue working
Female,School,A/L,Click the link to check,No signature,Delete and mark as spam,Click and reset it,Because email is not important,Click “Yes” and update later,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
Female,School,A/L,Reply and confirm,It has your name in the subject,Delete and mark as spam,Ignore it,Because email is not important,Close the window and restart,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,Close the tab and continue working
Male,High Education,HND,Click the link to check,It has your name in the subject,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,A virus in a PDF,To improve speed,"Run antivirus, change your passwords, report it"
Male,High Education,Degree,Reply and confirm,It has your name in the subject,Reply to confirm if it’s real,Forward it to someone else,It can be confusing,Click “Yes” and update later,Because it’s a system error,An attack using harmful hardware,To improve speed,Ignore it
Female,School,O/L,Ignore and delete it,No signature,Recognize it’s spoofed and report it,Ignore it,They work on different platforms,Click “Yes” and update later,Because it’s a system error,A highly targeted email crafted for a specific person,To trick users into feeling safe,Restart the device
Male,School,O/L,Ignore and delete it,No signature,Reply to confirm if it’s real,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,An attack using harmful hardware,To trick users into feeling safe,Close the tab and continue working
Male,High Education,O/L,Ignore and delete it,No signature,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Close the window and restart,To help users stay alert,A virus in a PDF,To improve speed,Ignore it
Male,School,Degree,Report it as phishing,It has your name in the subject,Recognize it’s spoofed and report it,Ignore it,It can be confusing,Click “Yes” and update later,Because it’s a system error,A virus in a PDF,To trick users into feeling safe,Close the tab and continue working
Female,School,Degree,Reply and confirm,No signature,Delete and mark as spam,Forward it to someone else,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,"Run antivirus, change your passwords, report it"
Female,School,A/L,Click the link to check,No signature,Delete and mark as spam,Ignore it,Because email is not important,Enter details quickly,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,Restart the device
Male,School,O/L,Reply and confirm,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Click and reset it,Because email is not important,Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,Ignore it
Male,High Education,Degree,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A virus in a PDF,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Female,High Education,O/L,Ignore and delete it,No signature,Assume it’s a mistake,Forward it to someone else,They work on different platforms,Click “Yes” and update later,To speed up support,A generic email to many people,To block ads,"Run antivirus, change your passwords, report it"
Male,High Education,HND,Click the link to check,It has your name in the subject,Assume it’s a mistake,Click and reset it,It can be confusing,Click “Yes” and update later,To speed up support,An attack using harmful hardware,Because it’s required by law,"Run antivirus, change your passwords, report it"
Female,School,A/L,Report it as phishing,It has your name in the subject,Recognize it’s spoofed and report it,Click and reset it,Because email is not important,Enter details quickly,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,Ignore it
Male,High Education,O/L,Report it as phishing,It has your name in the subject,Assume it’s a mistake,Forward it to someone else,Because email is not important,Enter details quickly,To speed up support,A virus in a PDF,To block ads,Close the tab and continue working
Male,High Education,HND,Click the link to check,It has your name in the subject,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Enter details quickly,To scare you into clicking,A virus in a PDF,To block ads,"Run antivirus, change your passwords, report it"
Male,High Education,Degree,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Click and reset it,They work on different platforms,Enter details quickly,To scare you into clicking,A virus in a PDF,To block ads,"Run antivirus, change your passwords, report it"
Male,School,HND,Click the link to check,It has your name in the subject,Reply to confirm if it’s real,Ignore it,They work on different platforms,Enter details quickly,Because it’s a system error,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
Female,School,HND,Reply and confirm,It has your name in the subject,Recognize it’s spoofed and report it,Ignore it,Because email is not important,Check the URL and site certificate,To help users stay alert,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
Male,High Education,HND,Ignore and delete it,No signature,Delete and mark as spam,Ignore it,It can be confusing,Enter details quickly,To scare you into clicking,A virus in a PDF,To improve speed,"Run antivirus, change your passwords, report it"
Female,High Education,Degree,Report it as phishing,It has your name in the subject,Assume it’s a mistake,Click and reset it,They work on different platforms,Check the URL and site certificate,To scare you into clicking,A virus in a PDF,To improve speed,Ignore it
Male,High Education,O/L,Reply and confirm,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Ignore it,They work on different platforms,Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,To improve speed,Close the tab and continue working
Male,High Education,Degree,Click the link to check,Grammatical errors and urgent tone,Reply to confirm if it’s real,Click and reset it,They work on different platforms,Enter details quickly,To scare you into clicking,An attack using harmful hardware,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Female,School,O/L,Reply and confirm,It comes from your manager,Delete and mark as spam,Ignore it,Because email is not important,Enter details quickly,Because it’s a system error,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
Female,School,O/L,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Forward it to someone else,They work on different platforms,Enter details quickly,Because it’s a system error,A virus in a PDF,Because it’s required by law,Restart the device
Female,School,HND,Click the link to check,It has your name in the subject,Assume it’s a mistake,Click and reset it,They work on different platforms,Click “Yes” and update later,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,School,Degree,Click the link to check,It has your name in the subject,Reply to confirm if it’s real,Click and reset it,"If one is breached, both are compromised",Enter details quickly,To speed up support,A generic email to many people,To block ads,Close the tab and continue working
Female,School,Degree,Click the link to check,It comes from your manager,Delete and mark as spam,Click and reset it,It can be confusing,Check the URL and site certificate,Because it’s a system error,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
Female,School,A/L,Reply and confirm,Grammatical errors and urgent tone,Reply to confirm if it’s real,Ignore it,They work on different platforms,Check the URL and site certificate,To help users stay alert,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
Male,School,HND,Click the link to check,It has your name in the subject,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,Ignore it
Male,High Education,HND,Report it as phishing,It has your name in the subject,Reply to confirm if it’s real,Forward it to someone else,They work on different platforms,Click “Yes” and update later,To speed up support,A generic email to many people,To block ads,Restart the device
Female,School,Degree,Click the link to check,No signature,Delete and mark as spam,Click and reset it,"If one is breached, both are compromised",Close the window and restart,To speed up support,A virus in a PDF,To trick users into feeling safe,Restart the device
Female,High Education,A/L,Click the link to check,It has your name in the subject,Delete and mark as spam,Ignore it,They work on different platforms,Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,Close the tab and continue working
Female,High Education,Degree,Report it as phishing,Grammatical errors and urgent tone,Assume it’s a mistake,Forward it to someone else,They work on different platforms,Close the window and restart,To speed up support,A generic email to many people,To improve speed,Restart the device
Female,High Education,O/L,Report it as phishing,No signature,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A virus in a PDF,To trick users into feeling safe,Restart the device
Female,School,HND,Ignore and delete it,No signature,Reply to confirm if it’s real,Go directly to the official website to reset,Because email is not important,Check the URL and site certificate,To speed up support,An attack using harmful hardware,To improve speed,Close the tab and continue working
Male,High Education,HND,Click the link to check,No signature,Reply to confirm if it’s real,Forward it to someone else,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Restart the device
Female,School,O/L,Report it as phishing,It has your name in the subject,Delete and mark as spam,Ignore it,They work on different platforms,Click “Yes” and update later,Because it’s a system error,A highly targeted email crafted for a specific person,To improve speed,Close the tab and continue working
Female,School,Degree,Report it as phishing,No signature,Reply to confirm if it’s real,Ignore it,It can be confusing,Enter details quickly,To speed up support,A virus in a PDF,To block ads,Close the tab and continue working
Female,School,HND,Report it as phishing,Grammatical errors and urgent tone,Assume it’s a mistake,Ignore it,Because email is not important,Enter details quickly,To help users stay alert,A virus in a PDF,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,High Education,A/L,Click the link to check,No signature,Reply to confirm if it’s real,Click and reset it,"If one is breached, both are compromised",Close the window and restart,To speed up support,A generic email to many people,To improve speed,Close the tab and continue working
Male,High Education,Degree,Report it as phishing,No signature,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To help users stay alert,An attack using harmful hardware,To block ads,"Run antivirus, change your passwords, report it"
Male,School,O/L,Report it as phishing,It comes from your manager,Assume it’s a mistake,Ignore it,They work on different platforms,Check the URL and site certificate,To help users stay alert,An attack using harmful hardware,To trick users into feeling safe,Restart the device
Female,School,O/L,Ignore and delete it,No signature,Reply to confirm if it’s real,Go directly to the official website to reset,Because email is not important,Close the window and restart,To speed up support,An attack using harmful hardware,To block ads,Restart the device
Female,High Education,Degree,Ignore and delete it,It has your name in the subject,Recognize it’s spoofed and report it,Go directly to the official website to reset,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
Female,High Education,HND,Click the link to check,It has your name in the subject,Assume it’s a mistake,Forward it to someone else,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,A highly targeted email crafted for a specific person,To trick users into feeling safe,Restart the device
Male,School,HND,Ignore and delete it,It comes from your manager,Reply to confirm if it’s real,Go directly to the official website to reset,They work on different platforms,Enter details quickly,To help users stay alert,A virus in a PDF,Because it’s required by law,Ignore it
Male,High Education,A/L,Report it as phishing,It comes from your manager,Recognize it’s spoofed and report it,Forward it to someone else,It can be confusing,Check the URL and site certificate,To help users stay alert,An attack using harmful hardware,To block ads,"Run antivirus, change your passwords, report it"
Female,School,O/L,Reply and confirm,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Ignore it,They work on different platforms,Check the URL and site certificate,To speed up support,An attack using harmful hardware,Because it’s required by law,Ignore it
Female,High Education,HND,Click the link to check,It has your name in the subject,Recognize it’s spoofed and report it,Click and reset it,They work on different platforms,Close the window and restart,To help users stay alert,A generic email to many people,To improve speed,Ignore it
Female,School,A/L,Click the link to check,No signature,Reply to confirm if it’s real,Ignore it,They work on different platforms,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,Restart the device
Female,School,A/L,Reply and confirm,It has your name in the subject,Delete and mark as spam,Forward it to someone else,"If one is breached, both are compromised",Enter details quickly,To speed up support,A highly targeted email crafted for a specific person,To improve speed,Close the tab and continue working
Female,High Education,A/L,Click the link to check,It comes from your manager,Reply to confirm if it’s real,Forward it to someone else,Because email is not important,Enter details quickly,Because it’s a system error,A highly targeted email crafted for a specific person,To improve speed,Ignore it
Male,School,Degree,Click the link to check,Grammatical errors and urgent tone,Delete and mark as spam,Ignore it,Because email is not important,Close the window and restart,To help users stay alert,A generic email to many people,Because it’s required by law,Restart the device
Female,School,A/L,Report it as phishing,Grammatical errors and urgent tone,Delete and mark as spam,Click and reset it,Because email is not important,Click “Yes” and update later,To speed up support,A virus in a PDF,To improve speed,Close the tab and continue working
Male,School,Degree,Click the link to check,No signature,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Close the window and restart,To scare you into clicking,An attack using harmful hardware,To improve speed,Close the tab and continue working
Male,High Education,Degree,Reply and confirm,It comes from your manager,Reply to confirm if it’s real,Go directly to the official website to reset,They work on different platforms,Close the window and restart,Because it’s a system error,A virus in a PDF,To block ads,Ignore it
Male,School,O/L,Ignore and delete it,No signature,Recognize it’s spoofed and report it,Ignore it,"If one is breached, both are compromised",Enter details quickly,To scare you into clicking,An attack using harmful hardware,Because it’s required by law,Ignore it
Female,School,HND,Ignore and delete it,Grammatical errors and urgent tone,Reply to confirm if it’s real,Ignore it,It can be confusing,Check the URL and site certificate,To scare you into clicking,An attack using harmful hardware,To block ads,Close the tab and continue working
Female,School,HND,Reply and confirm,It comes from your manager,Delete and mark as spam,Forward it to someone else,They work on different platforms,Close the window and restart,To help users stay alert,An attack using harmful hardware,To improve speed,"Run antivirus, change your passwords, report it"
Female,High Education,Degree,Ignore and delete it,Grammatical errors and urgent tone,Reply to confirm if it’s real,Click and reset it,"If one is breached, both are compromised",Close the window and restart,Because it’s a system error,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,School,O/L,Reply and confirm,Grammatical errors and urgent tone,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Close the window and restart,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
Female,School,Degree,Reply and confirm,No signature,Assume it’s a mistake,Click and reset it,"If one is breached, both are compromised",Enter details quickly,Because it’s a system error,A virus in a PDF,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,School,Degree,Reply and confirm,Grammatical errors and urgent tone,Reply to confirm if it’s real,Forward it to someone else,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
Female,High Education,HND,Report it as phishing,It has your name in the subject,Assume it’s a mistake,Go directly to the official website to reset,Because email is not important,Click “Yes” and update later,To scare you into clicking,An attack using harmful hardware,To block ads,Close the tab and continue working
Male,School,Degree,Click the link to check,Grammatical errors and urgent tone,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Enter details quickly,To speed up support,An attack using harmful hardware,To improve speed,"Run antivirus, change your passwords, report it"
Female,School,Degree,Reply and confirm,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Close the window and restart,Because it’s a system error,A virus in a PDF,Because it’s required by law,Close the tab and continue working
Female,School,Degree,Report it as phishing,It has your name in the subject,Reply to confirm if it’s real,Click and reset it,"If one is breached, both are compromised",Enter details quickly,Because it’s a system error,An attack using harmful hardware,To trick users into feeling safe,Close the tab and continue working
Male,High Education,A/L,Reply and confirm,Grammatical errors and urgent tone,Delete and mark as spam,Click and reset it,"If one is breached, both are compromised",Enter details quickly,Because it’s a system error,A generic email to many people,To improve speed,Ignore it
Female,High Education,A/L,Report it as phishing,Grammatical errors and urgent tone,Reply to confirm if it’s real,Go directly to the official website to reset,It can be confusing,Enter details quickly,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,Restart the device
Male,School,Degree,Ignore and delete it,No signature,Reply to confirm if it’s real,Click and reset it,"If one is breached, both are compromised",Click “Yes” and update later,To help users stay alert,A generic email to many people,Because it’s required by law,Close the tab and continue working
Male,School,HND,Reply and confirm,It has your name in the subject,Delete and mark as spam,Forward it to someone else,They work on different platforms,Click “Yes” and update later,To speed up support,A generic email to many people,Because it’s required by law,Close the tab and continue working
Male,High Education,O/L,Ignore and delete it,No signature,Delete and mark as spam,Forward it to someone else,They work on different platforms,Enter details quickly,To scare you into clicking,A generic email to many people,To block ads,Restart the device
Male,School,O/L,Reply and confirm,It has your name in the subject,Reply to confirm if it’s real,Go directly to the official website to reset,Because email is not important,Check the URL and site certificate,To scare you into clicking,A virus in a PDF,To improve speed,Ignore it
Male,School,O/L,Report it as phishing,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Forward it to someone else,Because email is not important,Click “Yes” and update later,To speed up support,A virus in a PDF,To block ads,Ignore it
Female,School,O/L,Report it as phishing,It has your name in the subject,Recognize it’s spoofed and report it,Click and reset it,They work on different platforms,Click “Yes” and update later,To help users stay alert,A virus in a PDF,To improve speed,Restart the device
Female,School,Degree,Ignore and delete it,It has your name in the subject,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Enter details quickly,Because it’s a system error,An attack using harmful hardware,To trick users into feeling safe,Restart the device
Male,High Education,Degree,Click the link to check,It comes from your manager,Reply to confirm if it’s real,Go directly to the official website to reset,Because email is not important,Enter details quickly,To scare you into clicking,An attack using harmful hardware,To block ads,Close the tab and continue working
Male,School,HND,Click the link to check,Grammatical errors and urgent tone,Delete and mark as spam,Ignore it,It can be confusing,Close the window and restart,To scare you into clicking,An attack using harmful hardware,To block ads,Close the tab and continue working
Male,High Education,Degree,Reply and confirm,It comes from your manager,Recognize it’s spoofed and report it,Ignore it,"If one is breached, both are compromised",Enter details quickly,To scare you into clicking,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,School,A/L,Ignore and delete it,Grammatical errors and urgent tone,Reply to confirm if it’s real,Ignore it,"If one is breached, both are compromised",Close the window and restart,To help users stay alert,A highly targeted email crafted for a specific person,To improve speed,Close the tab and continue working
Male,School,HND,Reply and confirm,No signature,Assume it’s a mistake,Click and reset it,Because email is not important,Check the URL and site certificate,Because it’s a system error,A virus in a PDF,To block ads,Ignore it
Male,School,A/L,Reply and confirm,It has your name in the subject,Recognize it’s spoofed and report it,Go directly to the official website to reset,They work on different platforms,Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Restart the device
Male,High Education,HND,Ignore and delete it,No signature,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Click “Yes” and update later,To help users stay alert,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
Female,High Education,A/L,Reply and confirm,No signature,Assume it’s a mistake,Click and reset it,It can be confusing,Close the window and restart,Because it’s a system error,A generic email to many people,To improve speed,"Run antivirus, change your passwords, report it"
Male,High Education,Degree,Report it as phishing,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To help users stay alert,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,School,HND,Report it as phishing,It has your name in the subject,Reply to confirm if it’s real,Forward it to someone else,Because email is not important,Click “Yes” and update later,To speed up support,A generic email to many people,To improve speed,Ignore it
Male,School,O/L,Click the link to check,It comes from your manager,Delete and mark as spam,Forward it to someone else,"If one is breached, both are compromised",Check the URL and site certificate,To help users stay alert,A generic email to many people,To trick users into feeling safe,Restart the device
Male,High Education,Degree,Ignore and delete it,Grammatical errors and urgent tone,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,Ignore it
Male,School,A/L,Click the link to check,It comes from your manager,Delete and mark as spam,Click and reset it,They work on different platforms,Enter details quickly,To speed up support,A generic email to many people,To trick users into feeling safe,Ignore it
Female,School,A/L,Report it as phishing,Grammatical errors and urgent tone,Reply to confirm if it’s real,Click and reset it,They work on different platforms,Close the window and restart,To speed up support,A generic email to many people,To improve speed,"Run antivirus, change your passwords, report it"
Male,School,O/L,Report it as phishing,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Forward it to someone else,It can be confusing,Enter details quickly,To speed up support,A virus in a PDF,To block ads,Close the tab and continue working
Male,High Education,HND,Report it as phishing,No signature,Assume it’s a mistake,Ignore it,Because email is not important,Check the URL and site certificate,Because it’s a system error,A generic email to many people,To improve speed,Restart the device
Female,School,A/L,Report it as phishing,It has your name in the subject,Reply to confirm if it’s real,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,Because it’s a system error,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,High Education,HND,Reply and confirm,No signature,Reply to confirm if it’s real,Click and reset it,Because email is not important,Close the window and restart,To scare you into clicking,A generic email to many people,To improve speed,Ignore it
Male,School,O/L,Reply and confirm,No signature,Assume it’s a mistake,Go directly to the official website to reset,They work on different platforms,Enter details quickly,Because it’s a system error,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
Male,School,Degree,Ignore and delete it,Grammatical errors and urgent tone,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Enter details quickly,To scare you into clicking,A virus in a PDF,To improve speed,Close the tab and continue working
Female,School,HND,Report it as phishing,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
Female,School,HND,Ignore and delete it,It has your name in the subject,Reply to confirm if it’s real,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To help users stay alert,A generic email to many people,To improve speed,"Run antivirus, change your passwords, report it"
Male,High Education,O/L,Click the link to check,No signature,Recognize it’s spoofed and report it,Go directly to the official website to reset,Because email is not important,Click “Yes” and update later,To scare you into clicking,A virus in a PDF,To improve speed,Restart the device
Male,High Education,O/L,Ignore and delete it,It has your name in the subject,Assume it’s a mistake,Click and reset it,Because email is not important,Close the window and restart,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
Male,High Education,HND,Ignore and delete it,Grammatical errors and urgent tone,Assume it’s a mistake,Click and reset it,They work on different platforms,Click “Yes” and update later,To help users stay alert,A highly targeted email crafted for a specific person,To improve speed,"Run antivirus, change your passwords, report it"
Female,High Education,HND,Report it as phishing,It has your name in the subject,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,Because it’s a system error,A highly targeted email crafted for a specific person,To improve speed,Ignore it
Male,High Education,O/L,Reply and confirm,Grammatical errors and urgent tone,Recognize it’s spoofed and report it,Forward it to someone else,Because email is not important,Click “Yes” and update later,To speed up support,A generic email to many people,To block ads,Close the tab and continue working
Male,High Education,A/L,Reply and confirm,It has your name in the subject,Assume it’s a mistake,Forward it to someone else,It can be confusing,Click “Yes” and update later,To scare you into clicking,A generic email to many people,Because it’s required by law,Restart the device
Female,High Education,Degree,Ignore and delete it,It has your name in the subject,Recognize it’s spoofed and report it,Forward it to someone else,Because email is not important,Check the URL and site certificate,To scare you into clicking,A virus in a PDF,Because it’s required by law,Close the tab and continue working
Male,School,O/L,Ignore and delete it,It has your name in the subject,Delete and mark as spam,Click and reset it,They work on different platforms,Close the window and restart,Because it’s a system error,A generic email to many people,To trick users into feeling safe,Ignore it
Female,School,HND,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Click and reset it,They work on different platforms,Close the window and restart,To scare you into clicking,A virus in a PDF,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
