Respondent_ID,Timestamp,Age,Gender,Education level,"IT proficiency at the,",You receive an unexpected email asking to confirm your personal details like this. What should you do?,You receive an unexpected email that feels suspicious. Which detail should make you think twice before clicking?,"If an email address looks like “support@amazo0n.com,” what should you do?",You’re asked to reset your password through an email link. What is the safest step?,Why is it risky to use the same password for email and banking?,"You receive a pop-up asking for your login like this.What should you do?",Why do Fake emails often include urgent messages like “Act Now!”?,What’s a “spear phishing” attack?,Why do attackers sometimes use HTTPS in phishing sites?,What should be your first response if you clicked a phishing link?
186,2025/09/09 9:51:38 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,Ignore it
187,2025/09/09 9:51:58 AM GMT+5:30,24,Female,Degree,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
188,2025/09/09 9:52:31 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,No signature at the end,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
189,2025/09/09 9:53:03 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A generic email to many people,To block ads,"Run antivirus, change your passwords, report it"
190,2025/09/09 10:27:16 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
191,2025/09/09 10:28:44 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
192,2025/09/09 10:29:02 AM GMT+5:30,25,Female,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
193,2025/09/09 10:29:23 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
194,2025/09/09 10:29:42 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
195,2025/09/09 10:30:07 AM GMT+5:30,26,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
196,2025/09/09 10:30:25 AM GMT+5:30,26,Female,HND,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
197,2025/09/09 10:31:01 AM GMT+5:30,25,Prefer not to say,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
198,2025/09/09 10:31:20 AM GMT+5:30,25,Female,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
199,2025/09/09 10:31:40 AM GMT+5:30,25,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
200,2025/09/09 10:32:29 AM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
